date,frontera
2014-01-01,35
2014-02-01,30
2014-03-01,28
2014-04-01,38
2014-05-01,43
2014-06-01,34
2014-07-01,31
2014-08-01,31
2014-09-01,31
2014-10-01,33
2014-11-01,33
2014-12-01,31
2015-01-01,37
2015-02-01,33
2015-03-01,33
2015-04-01,37
2015-05-01,37
2015-06-01,32
2015-07-01,32
2015-08-01,34
2015-09-01,36
2015-10-01,34
2015-11-01,35
2015-12-01,39
2016-01-01,56
2016-02-01,34
2016-03-01,35
2016-04-01,40
2016-05-01,38
2016-06-01,33
2016-07-01,35
2016-08-01,33
2016-09-01,37
2016-10-01,33
2016-11-01,40
2016-12-01,38
2017-01-01,57
2017-02-01,45
2017-03-01,39
2017-04-01,51
2017-05-01,41
2017-06-01,38
2017-07-01,37
2017-08-01,35
2017-09-01,33
2017-10-01,33
2017-11-01,37
2017-12-01,36
2018-01-01,50
2018-02-01,45
2018-03-01,39
2018-04-01,47
2018-05-01,45
2018-06-01,39
2018-07-01,38
2018-08-01,40
2018-09-01,37
2018-10-01,35
2018-11-01,37
2018-12-01,39
2019-01-01,43
2019-02-01,52
2019-03-01,100
2019-04-01,55
2019-05-01,46
2019-06-01,47
2019-07-01,45
2019-08-01,42
2019-09-01,40
2019-10-01,38
2019-11-01,41
2019-12-01,38
2020-01-01,51
2020-02-01,43
2020-03-01,81
2020-04-01,55
2020-05-01,47
2020-06-01,43
2020-07-01,35
2020-08-01,35
2020-09-01,35
2020-10-01,42
2020-11-01,44
2020-12-01,49
2021-01-01,45
2021-02-01,46
2021-03-01,48
2021-04-01,44
2021-05-01,43
2021-06-01,44
2021-07-01,38
2021-08-01,46
2021-09-01,49
2021-10-01,62
2021-11-01,67
2021-12-01,63
2022-01-01,59
2022-02-01,53
2022-03-01,53
2022-04-01,50
2022-05-01,44
2022-06-01,42
2022-07-01,36
2022-08-01,51
2022-09-01,34
2022-10-01,39
2022-11-01,37
2022-12-01,41
2023-01-01,60
2023-02-01,44
2023-03-01,43
2023-04-01,59
2023-05-01,58
2023-06-01,57
2023-07-01,61
2023-08-01,49
2023-09-01,43
2023-10-01,46
2023-11-01,45
2023-12-01,52
2024-01-01,52
2024-02-01,43
2024-03-01,43
2024-04-01,47
2024-05-01,45
2024-06-01,45
2024-07-01,41
2024-08-01,43
2024-09-01,40
2024-10-01,39
2024-11-01,40
2024-12-01,52
2025-01-01,64
2025-02-01,53
2025-03-01,50
2025-04-01,45
2025-05-01,42
2025-06-01,41
2025-07-01,45
2025-08-01,40
2025-09-01,39
2025-10-01,42
