date,migración
2014-01-01,9
2014-02-01,11
2014-03-01,14
2014-04-01,13
2014-05-01,16
2014-06-01,16
2014-07-01,14
2014-08-01,19
2014-09-01,20
2014-10-01,26
2014-11-01,20
2014-12-01,11
2015-01-01,10
2015-02-01,10
2015-03-01,14
2015-04-01,19
2015-05-01,21
2015-06-01,20
2015-07-01,18
2015-08-01,20
2015-09-01,32
2015-10-01,28
2015-11-01,27
2015-12-01,13
2016-01-01,13
2016-02-01,11
2016-03-01,13
2016-04-01,17
2016-05-01,21
2016-06-01,21
2016-07-01,15
2016-08-01,22
2016-09-01,20
2016-10-01,21
2016-11-01,35
2016-12-01,16
2017-01-01,14
2017-02-01,14
2017-03-01,15
2017-04-01,19
2017-05-01,25
2017-06-01,25
2017-07-01,18
2017-08-01,25
2017-09-01,26
2017-10-01,31
2017-11-01,36
2017-12-01,20
2018-01-01,16
2018-02-01,21
2018-03-01,20
2018-04-01,25
2018-05-01,36
2018-06-01,32
2018-07-01,29
2018-08-01,41
2018-09-01,41
2018-10-01,48
2018-11-01,64
2018-12-01,39
2019-01-01,27
2019-02-01,27
2019-03-01,31
2019-04-01,37
2019-05-01,40
2019-06-01,40
2019-07-01,39
2019-08-01,50
2019-09-01,53
2019-10-01,54
2019-11-01,68
2019-12-01,34
2020-01-01,27
2020-02-01,24
2020-03-01,37
2020-04-01,45
2020-05-01,51
2020-06-01,53
2020-07-01,39
2020-08-01,47
2020-09-01,60
2020-10-01,63
2020-11-01,79
2020-12-01,40
2021-01-01,31
2021-02-01,40
2021-03-01,45
2021-04-01,48
2021-05-01,55
2021-06-01,64
2021-07-01,44
2021-08-01,61
2021-09-01,64
2021-10-01,82
2021-11-01,96
2021-12-01,44
2022-01-01,38
2022-02-01,55
2022-03-01,54
2022-04-01,63
2022-05-01,69
2022-06-01,69
2022-07-01,55
2022-08-01,76
2022-09-01,79
2022-10-01,95
2022-11-01,96
2022-12-01,46
2023-01-01,40
2023-02-01,43
2023-03-01,53
2023-04-01,53
2023-05-01,63
2023-06-01,58
2023-07-01,51
2023-08-01,67
2023-09-01,66
2023-10-01,71
2023-11-01,83
2023-12-01,46
2024-01-01,37
2024-02-01,40
2024-03-01,43
2024-04-01,52
2024-05-01,100
2024-06-01,58
2024-07-01,48
2024-08-01,60
2024-09-01,66
2024-10-01,71
2024-11-01,76
2024-12-01,50
2025-01-01,50
2025-02-01,50
2025-03-01,46
2025-04-01,51
2025-05-01,63
2025-06-01,74
2025-07-01,56
2025-08-01,74
2025-09-01,72
2025-10-01,76
